WKT,location,country,intmig_person,recent_intmig,desire2emig,plans2emig,nobs,x,y
"POINT (-88.7600927 16.8259793)","Belize, Belize",Belize,0.186507936507937,0.25531914893617,0.26984126984127,0.123505976095618,"252",-88.7600927,16.8259793
"POINT (-88.770018 17.250199)","Belmopan, Belize",Belize,0.47887323943662,0.205882352941176,0.157142857142857,0.0972222222222222,"72",-88.770018,17.250199
"POINT (-90.5185188 14.6222328)","Ciudad De Guatemala, Guatemala",Guatemala,0.209375,0.208955223880597,0.322884012539185,0.0691823899371069,"320",-90.5185188,14.6222328
"POINT (-79.5341802 8.9714493)","Ciudad de Panamá, Panama",Panama,0.18641975308642,0.198675496688742,0.169764560099133,0.057001239157373,"810",-79.5341802,8.9714493
"POINT (-79.8974085 9.3553005)","Colón, Panama",Panama,0.12037037037037,0.384615384615385,0.201923076923077,0.0740740740740741,"108",-79.8974085,9.3553005
"POINT (-82.4826159156964 8.4949423)","David, Panama",Panama,0.114942528735632,0.1,0.126436781609195,0.0114942528735632,"87",-82.4826159156964,8.4949423
"POINT (-91.5839796 15.6634185)","Huehuetenango, Guatemala",Guatemala,0.314814814814815,0.176470588235294,0.166666666666667,0.0555555555555556,"54",-91.5839796,15.6634185
"POINT (-86.7917749 15.7833743)","La Ceiba, Honduras",Honduras,0.278846153846154,0.25,0.538461538461538,0.323529411764706,"104",-86.7917749,15.7833743
"POINT (-91.6152074 14.7360257)","Quetzaltenango, Guatemala",Guatemala,0.208955223880597,0.428571428571429,0.283582089552239,0.0298507462686567,"67",-91.6152074,14.7360257
"POINT (-89.0761718 17.1527588)","San Ignacio, Belize",Belize,0.285714285714286,0.291666666666667,0.132530120481928,0.0238095238095238,"84",-89.0761718,17.1527588
"POINT (-88.17722 13.4803899)","San Miguel, El Salvador",El Salvador,0.305555555555556,0.227272727272727,0.180555555555556,0.0694444444444444,"72",-88.17722,13.4803899
"POINT (-88.0248937 15.5062156)","San Pedro Sula, Honduras",Honduras,0.328,0.25609756097561,0.455645161290323,0.188755020080321,"250",-88.0248937,15.5062156
"POINT (-89.1914249 13.6989939)","San Salvador, El Salvador",El Salvador,0.425055928411633,0.152631578947368,0.349206349206349,0.0540540540540541,"447",-89.1914249,13.6989939
"POINT (-89.5566069 13.9947753)","Santa Ana, El Salvador",El Salvador,0.25,0.277777777777778,0.263888888888889,0.0416666666666667,"72",-89.5566069,13.9947753
"POINT (-87.2040052 14.1057433)","Tegucigalpa, Honduras",Honduras,0.181818181818182,0.115384615384615,0.514084507042254,0.156028368794326,"143",-87.2040052,14.1057433
